step,train_loss,val_loss,lr,elapsed_min,phase
27250,0.052399,0.058287,0.00005975,220.95,finetune
27500,0.050023,0.057400,0.00005750,223.15,finetune
27750,0.050794,0.053393,0.00005525,225.14,finetune
28000,0.049280,0.058319,0.00005300,227.07,finetune
28250,0.049727,0.059521,0.00005075,229.19,finetune
28500,0.048955,0.054732,0.00004850,231.45,finetune
28750,0.047476,0.061168,0.00004625,233.57,finetune
29000,0.049196,0.056950,0.00004400,235.77,finetune
29250,0.048376,0.057194,0.00004175,237.79,finetune
29500,0.047367,0.058289,0.00003949,239.90,finetune
29750,0.046562,0.059064,0.00003724,241.91,finetune
30000,0.046802,0.061480,0.00003499,243.75,finetune
30250,0.047845,0.056623,0.00003274,245.52,finetune
30500,0.048099,0.054626,0.00003049,247.32,finetune
30750,0.046604,0.061314,0.00002824,249.07,finetune
31000,0.047539,0.061390,0.00002599,250.82,finetune
31250,0.047439,0.059697,0.00002374,252.86,finetune
31500,0.046970,0.060218,0.00002149,254.95,finetune
31750,0.046161,0.062687,0.00001924,257.38,finetune
32000,0.048045,0.058697,0.00001699,259.36,finetune
32250,0.046250,0.059712,0.00001474,261.32,finetune
32500,0.047175,0.059117,0.00001249,263.27,finetune
32750,0.044736,0.057144,0.00001024,265.12,finetune
32999,0.044616,0.058005,0.00000800,267.01,finetune
